id_cooler,nome_cooler,marca,tipo_cooler,tamanho_radiador_mm,altura_cooler_mm,preco_medio_brl,avaliacao_media
1,Rise Mode Aura Ice 360mm,Rise Mode,Water Cooler,360,0,420.00,4.3
2,DeepCool LE520 240mm,DeepCool,Water Cooler,240,0,350.00,4.7
3,DeepCool AK620,DeepCool,Air Cooler,0,160,400.00,4.9
4,DeepCool AK400,DeepCool,Air Cooler,0,155,180.00,4.8
5,Rise Mode Storm 8,Rise Mode,Air Cooler,0,157,240.00,4.4
6,Cooler Master Hyper 212,Cooler Master,Air Cooler,0,155,270.00,4.7
7,DeepCool AG400,DeepCool,Air Cooler,0,155,150.00,4.8
8,AMD Wraith Stealth (Cooler Box),AMD,Air Cooler,0,70,60.00,3.5
